"""element""","""isotopes""","""atomicmass""","""standard""","""availablespikes""",,,,,,,,,
,104,103.90543,0.1862,0.009,0.0027,0.003,0.0021,0.0021,0.9921,,,,
"""Pd""",102,101.905608,0.0102,0.7818,0.0015,0.0002,0.0002,0.0002,0.0002,,,,
,104,103.904035,0.1114,0.0545,0.9528,0.005,0.0013,0.0008,0.00096,,,,
,105,104.905084,0.2233,0.062,0.0263,0.9727,0.0079,0.0022,0.0025,,,,
,106,105.903483,0.2733,0.0545,0.012,0.0172,0.9848,0.0047,0.003,,,,
,108,107.903894,0.2646,0.0349,0.0052,0.0037,0.0048,0.9886,0.0072,,,,
,110,109.905152,0.1172,0.0123,0.0022,0.0014,0.0012,0.0037,0.9864,,,,
"""Cd""",106,105.906458,0.0125,0.8828,0.00877,0.001,0.0005,0.0001,0.0002,0.0001,0.0005,,
,108,107.904183,0.0089,0.005,0.6933,0.0009,0.0005,0.0001,0.0002,0.0001,0.0005,,
,110,109.903006,0.1249,0.0204,0.0669,0.96,0.0063,0.0013,0.0019,0.0005,0.0014,,
,111,110.904182,0.128,0.016,0.0559,0.0155,0.9644,0.0041,0.0033,0.0007,0.0018,,
,112,111.9027572,0.2413,0.025,0.0616,0.011,0.0182,0.9823,0.0143,0.0019,0.0038,,
,113,112.9044009,0.1222,0.0117,0.039,0.0036,0.0043,0.0064,0.951,0.0028,0.0026,,
,114,113.9033581,0.2873,0.0256,0.0568,0.0063,0.0059,0.0052,0.0275,0.9927,0.0096,,
,116,115.904755,0.0749,0.0136,0.0177,0.0016,0.001,0.0005,0.002,0.0014,0.9807,,
"""Sn""",112,111.904821,0.0097,0.6851,0.0038,0.006,0.0002,0.0005,0.00016,0.0004,0.0002,0.0002,0.0003
,114,113.902782,0.0066,0.0207,0.692,0.0097,0.0002,0.0005,0.00013,0.0003,0.0001,0.0002,0.0002
,115,114.903346,0.0034,0.0033,0.0098,0.402,0.0007,0.0006,0.00025,0.0002,0.00005,0.0002,0.0003
,116,115.901744,0.1454,0.0672,0.1208,0.25,0.9668,0.0231,0.00375,0.0069,0.002,0.0033,0.002
,117,116.902954,0.0768,0.0283,0.034,0.0527,0.0123,0.8911,0.00455,0.0066,0.0012,0.0036,0.0015
,118,117.901606,0.2422,0.071,0.0644,0.104,0.0118,0.0452,0.9704,0.03,0.0049,0.0095,0.0041
,119,118.903309,0.0859,0.0232,0.0165,0.0304,0.0022,0.0112,0.00735,0.8964,0.0036,0.0104,0.0021
,120,119.9021966,0.3258,0.0812,0.0472,0.115,0.0052,0.0218,0.01163,0.0538,0.9857,0.0381,0.0094
,122,121.9034401,0.0463,0.011,0.0059,0.0141,0.0005,0.0029,0.00087,0.0027,0.0013,0.9219,0.0104
,124,123.9052746,0.0579,0.009,0.0056,0.0163,0.0005,0.0021,0.00091,0.0027,0.0009,0.0165,0.9696
"""Te""",120,119.90402,0.0009,0.569,0.0002,0.0001,0.0001,0.0004,0.0002,0.0001,0.0003,,
,122,121.9030471,0.0255,0.0837,0.972,0.0053,0.001,0.0003,0.0001,0.0001,0.0002,,
,123,122.904273,0.0089,0.0149,0.0013,0.9099,0.0006,0.0003,0.0001,0.0001,0.0003,,
,124,123.9028195,0.0474,0.0381,0.0027,0.0175,0.967,0.0032,0.0006,0.0002,0.0003,,
,125,124.9044247,0.0707,0.0396,0.0025,0.0115,0.0065,0.9552,0.0021,0.0005,0.0003,,
,126,125.9033055,0.1884,0.0782,0.0065,0.0194,0.0133,0.0272,0.9857,0.0023,0.0014,,
,128,127.9044614,0.3174,0.0904,0.0103,0.0157,0.0067,0.008,0.0079,0.9908,0.0028,,
,130,129.9062228,0.3408,0.0861,0.0045,0.0206,0.0053,0.0054,0.0033,0.0061,0.9944,,
"""Xe""",124,123.9058958,0.0009,,,,,,,,,,
,126,125.904269,0.0009,,,,,,,,,,
,128,127.9035304,0.0192,,,,,,,,,,
,129,128.9047795,0.2644,,,,,,,,,,
,130,129.9035079,0.0408,,,,,,,,,,
,131,130.9050819,0.2118,,,,,,,,,,
,132,131.9041545,0.2689,,,,,,,,,,
,134,133.9053945,0.1044,,,,,,,,,,
,136,135.90722,0.0887,,,,,,,,,,
"""Ba""",130,129.90631,0.00106,0.3761,0.0023,0.0005,0.0001,0.0001,0.0003,0.0001,,,
,132,131.905056,0.00101,0.009,0.2826,0.0005,0.00057,0.0001,0.0003,0.0001,,,
,134,133.904503,0.02417,0.0356,0.0837,0.7353,0.00466,0.0008,0.0005,0.0001,,,
,135,134.905683,0.06592,0.0631,0.0869,0.1524,0.9338,0.0103,0.001,0.0003,,,
,136,135.90457,0.07854,0.0558,0.0675,0.0403,0.0164,0.9283,0.0063,0.0003,,,
,137,136.905821,0.11232,0.0652,0.0749,0.0194,0.0089,0.0177,0.819,0.0025,,,
,138,137.905241,0.71698,0.3952,0.4021,0.0526,0.0356,0.0428,0.174,0.9968,,,
"""Ce""",136,135.90714,0.00185,0.5054,0.0019,0.0001,0.00002,,,,,,
,138,137.905986,0.00251,0.0034,0.26,0.0001,0.00002,,,,,,
,140,139.905434,0.8845,0.4579,0.699,0.9984,0.0715,,,,,,
,142,141.90924,0.11114,0.0333,0.0384,0.0016,0.9285,,,,,,
"""Nd""",142,141.907719,0.272,0.9826,0.0287,0.0058,0.0092,0.0042,0.0087,0.0041,,,
,143,142.90981,0.122,0.0071,0.9163,0.0064,0.007,0.0029,0.0043,0.0024,,,
,144,143.910083,0.238,0.0058,0.043,0.9751,0.0255,0.0068,0.0096,0.0049,,,
,145,144.912569,0.083,0.0012,0.0047,0.0069,0.9173,0.0064,0.0043,0.0021,,,
,146,145.913112,0.172,0.0024,0.0055,0.0046,0.0367,0.9763,0.0118,0.0044,,,
,148,147.916889,0.057,0.0005,0.001,0.0007,0.0028,0.0024,0.9544,0.0037,,,
,150,149.920887,0.056,0.0004,0.0008,0.0004,0.0015,0.001,0.0069,0.9784,,,
"""Sm""",144,143.911995,0.0307,0.8591,0.0005,0.00049,0.00033,0.003,0.0001,0.0002,,,
,147,146.914893,0.1499,0.0388,0.983,0.0129,0.00377,0.003,0.0005,0.0014,,,
,148,147.914818,0.1124,0.0218,0.0085,0.9652,0.00788,0.00006,0.0005,0.0012,,,
,149,148.91718,0.1382,0.0219,0.0036,0.0139,0.9768,0.0004,0.0008,0.0017,,,
,150,149.917271,0.0738,0.0102,0.0011,0.0024,0.00564,0.9993,0.0009,0.0012,,,
,152,151.919728,0.2675,0.028,0.0021,0.0034,0.00386,0.0001,0.9944,0.0075,,,
,154,153.922205,0.2275,0.0202,0.0012,0.0018,0.00172,0.0001,0.0028,0.9869,,,
"""Gd""",152,151.919788,0.002,0.4277,0.0005,0.0001,0.0001,0.0005,0.0002,0.0002,,,
,154,153.920862,0.0218,0.0439,0.6678,0.0023,0.0001,0.0031,0.0005,0.0002,,,
,155,154.922619,0.148,0.159,0.1752,0.9431,0.0006,0.0402,0.0025,0.0014,,,
,156,155.92212,0.2047,0.1388,0.0723,0.0285,0.9978,0.056,0.0046,0.0022,,,
,157,156.923957,0.1565,0.078,0.0316,0.0102,0.0012,0.7971,0.0088,0.0024,,,
,158,157.924101,0.2484,0.0949,0.0344,0.0105,0.0003,0.0809,0.9753,0.0069,,,
,160,159.927051,0.2186,0.0583,0.0187,0.0053,0.0003,0.0228,0.0183,0.9871,,,
"""Dy""",156,155.924278,0.0006,0.2159,0.0012,0.0001,0.0002,0.0001,0.0001,0.0001,,,
,158,157.924405,0.001,0.0036,0.328,0.0001,0.00068,0.0001,0.0001,0.0001,,,
,160,159.925194,0.0234,0.031,0.048,0.7893,0.00234,0.0007,0.0003,0.0002,,,
,161,160.92693,0.1891,0.1929,0.203,0.1133,0.9575,0.012,0.0036,0.0015,,,
,162,161.926795,0.2551,0.2069,0.173,0.0503,0.0251,0.9628,0.0125,0.0034,,,
,163,162.928728,0.249,0.177,0.131,0.0275,0.0089,0.0175,0.9684,0.0103,,,
,164,163.929171,0.2818,0.1726,0.116,0.0196,0.0055,0.007,0.0152,0.9847,,,
"""Er""",162,161.928775,0.0014,0.3431,0.0007,0.0002,0.0001,0.00002,0.0001,,,,
,164,163.929197,0.0161,0.0392,0.6273,0.0006,0.0005,0.00022,0.0003,,,,
,166,165.93029,0.3361,0.2723,0.2052,0.9631,0.0281,0.0062,0.0085,,,,
,167,166.932045,0.2293,0.1499,0.0793,0.0278,0.9177,0.0121,0.0073,,,,
,168,167.932368,0.2678,0.1366,0.0649,0.0071,0.0505,0.9775,0.0145,,,,
,170,169.93546,0.1493,0.0588,0.0226,0.0015,0.0032,0.004,0.9693,,,,
"""Yb""",168,167.933894,0.0013,0.3351,0.0002,0.0001,0.0001,0.0001,0.0001,0.00004,,,
,170,169.934759,0.0304,0.0604,0.7878,0.0038,0.0012,0.0005,0.0003,0.00039,,,
,171,170.936322,0.1428,0.1575,0.1054,0.9507,0.0104,0.0029,0.0013,0.00257,,,
,172,171.9363777,0.2183,0.1651,0.0485,0.0261,0.9592,0.014,0.0033,0.00439,,,
,173,172.9382068,0.1613,0.0908,0.0208,0.0074,0.0174,0.9489,0.0078,0.00396,,,
,174,173.9388581,0.3183,0.1495,0.0305,0.0099,0.0104,0.0302,0.984,0.0108,,,
,176,175.942568,0.1276,0.0415,0.0068,0.0021,0.0014,0.0034,0.0036,0.9779,,,
"""Hf""",174,173.94004,0.0016,0.1901,0.01,0.0062,0.0002,0.0007,0.0001,,,,
,176,175.9414018,0.0526,0.1078,0.7749,0.0087,0.0023,0.0022,0.0007,,,,
,177,176.94322,0.186,0.2097,0.1143,0.9138,0.0152,0.011,0.0021,,,,
,178,177.9436977,0.2728,0.2184,0.0584,0.0492,0.9475,0.0326,0.0069,,,,
,179,178.9458151,0.1362,0.0843,0.0195,0.0101,0.0183,0.8687,0.0074,,,,
,180,179.9465488,0.3508,0.1897,0.0329,0.018,0.0167,0.0848,0.9829,,,,
"""W""",180,179.946706,0.0012,0.1135,0.0004,0.0005,0.001,0.0001,,,,,
,182,181.948206,0.265,0.428,0.945,0.04,0.0115,0.0026,,,,,
,183,182.9502245,0.1431,0.148,0.0242,0.8753,0.0178,0.0022,,,,,
,184,183.9509326,0.3064,0.198,0.0222,0.065,0.9509,0.0108,,,,,
,186,185.954362,0.2843,0.1127,0.0086,0.0197,0.0198,0.9844,,,,,
"""Os""",184,183.952491,0.0002,0.0564,0.0003,0.0001,0.00002,0.0004,0.0001,0.0005,,,
,186,185.953838,0.0159,0.042,0.7948,0.0074,0.00114,0.0002,0.00027,0.0005,,,
,187,186.9557479,0.0196,0.0273,0.0091,0.7316,0.00117,0.002,0.00028,0.0005,,,
,188,187.955836,0.1324,0.1717,0.0488,0.1294,0.94986,0.0078,0.0046,0.00101,,,
,189,188.9581449,0.1615,0.172,0.0429,0.0431,0.02546,0.9526,0.0064,0.0016,,,
,190,189.958445,0.2626,0.237,0.0509,0.0449,0.01269,0.0308,0.9785,0.00344,,,
,192,191.961479,0.4078,0.2937,0.0532,0.0435,0.00966,0.0065,0.0099,0.99395,,,
"""Pt""",190,189.95993,0.00014,0.0419,0.0001,0.0001,0.0004,0.0001,0.0005,,,,
,192,191.961035,0.00782,0.0202,0.5693,0.0003,0.0004,0.0001,0.0005,,,,
,194,193.962664,0.32967,0.4986,0.2634,0.9645,0.0121,0.0063,0.0083,,,,
,195,194.964774,0.33832,0.263,0.1112,0.0246,0.9729,0.0157,0.0123,,,,
,196,195.964935,0.25242,0.1445,0.0477,0.0087,0.014,0.9751,0.0223,,,,
,198,197.967876,0.07163,0.0318,0.0083,0.0018,0.001,0.0029,0.9571,,,,
"""Hg""",196,195.965815,0.0015,0.7316,0.0002,0.0005,0.0002,0.0002,0.0005,0.0005,,,
,198,197.966752,0.0997,0.0764,0.9278,0.012,0.0013,0.0007,0.0013,0.0011,,,
,199,198.968262,0.1687,0.0656,0.0511,0.9109,0.0099,0.0013,0.0141,0.0017,,,
,200,199.968309,0.231,0.0569,0.0109,0.0422,0.9641,0.009,0.0093,0.0026,,,
,201,200.970285,0.1318,0.0234,0.0039,0.0092,0.0146,0.9617,0.0068,0.0022,,,
,202,201.970626,0.2986,0.0399,0.0052,0.0189,0.0091,0.0262,0.9586,0.0113,,,
,204,203.973476,0.0687,0.0062,0.00105,0.0068,0.001,0.0011,0.0094,0.9811,,,
"""Pb""",204,203.97302,0.014,0.99708,0.0005,0.0001,0.0001,,,,,,
,206,205.97444,0.241,0.00165,0.99948,0.0249,0.001,,,,,,
,207,206.975872,0.221,0.00064,0.00029,0.9283,0.0004,,,,,,
,208,207.976627,0.524,0.00064,0.00023,0.0468,0.9986,,,,,,
